HeadYaw;-2.0857;2.0857
HeadPitch;-0.4771;0.1748
LShoulderPitch;-2.0856;2.0856
LShoulderRoll;-0.0600;1.3265
LElbowYaw;-2.0856;2.0856
LElbowRoll;-1.5446;-0.0349
LWristYaw;-1.8238;1.8238
RShoulderPitch;-2.0856;2.0856
RShoulderRoll;-1.3265;0.0600
RElbowYaw;-2.0857;2.0857
RElbowRoll;0.0349;1.5446
RWristYaw;-1.8238;1.8238
